,Random,InterleavedRandom,InterleavedNewFirst,InterleavedOldFirst,StochasticLinear,StochasticSquare,StochasticExponential
183,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
184,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
185,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
186,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
187,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
188,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
189,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
190,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
191,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
192,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
193,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
194,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
195,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
196,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
197,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
198,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
199,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
200,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
201,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
202,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
203,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
204,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
205,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
206,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
207,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
208,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
209,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
210,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
211,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
212,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
213,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
214,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
215,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
216,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
217,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
218,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
219,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
220,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
221,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
222,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
223,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
224,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
225,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
226,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
227,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
228,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
229,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
230,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
231,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
232,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
233,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
234,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
235,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
236,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
237,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
238,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
239,9000.0,9000.0,9000.0,9000.0,50000.0,50000.0,50000.0
240,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
241,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
242,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
243,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
244,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
